Date,High,Low,Open,Close,Volume,Adj Close
1993-03-29,45.3125,44.9375,44.9375,45.09375,87100.0,26.23082733154297
1993-03-30,45.21875,45.09375,45.15625,45.21875,56000.0,26.30353355407715
1993-03-31,45.46875,45.1875,45.34375,45.1875,111600.0,26.285364151000977
1993-04-01,45.25,44.9375,45.25,45.03125,129500.0,26.194477081298828
1993-04-02,44.65625,44.09375,44.65625,44.09375,59400.0,25.649118423461914
1993-04-05,44.4375,44.1875,44.4375,44.3125,172200.0,25.7763614654541
1993-04-06,44.40625,44.0625,44.40625,44.1875,129700.0,25.703659057617188
1993-04-07,44.34375,44.15625,44.25,44.34375,28000.0,25.794536590576172
1993-04-08,44.53125,44.09375,44.53125,44.28125,180800.0,25.75818634033203
1993-04-12,44.9375,44.65625,44.71875,44.90625,348500.0,26.12175178527832
1993-04-13,45.15625,44.84375,44.875,45.0,146100.0,26.17629623413086
1993-04-14,45.0625,44.90625,45.03125,44.9375,119600.0,26.139930725097656
1993-04-15,45.03125,44.75,44.90625,44.9375,148600.0,26.139930725097656
1993-04-16,45.03125,44.875,44.96875,44.9375,47900.0,26.139930725097656
1993-04-19,45.0625,44.71875,44.9375,44.75,157000.0,26.030868530273438
1993-04-20,44.75,44.25,44.6875,44.53125,279500.0,25.90361785888672
1993-04-21,44.625,44.375,44.625,44.5,67900.0,25.88543128967285
1993-04-22,44.6875,43.9375,44.3125,43.9375,97700.0,25.5582275390625
1993-04-23,43.96875,43.6875,43.84375,43.75,106000.0,25.44916343688965
1993-04-26,43.9375,43.28125,43.78125,43.40625,62600.0,25.249204635620117
1993-04-27,43.875,43.34375,43.34375,43.875,156800.0,25.521873474121094
1993-04-28,43.90625,43.71875,43.8125,43.78125,85900.0,25.46735191345215
1993-04-29,43.96875,43.625,43.875,43.96875,85000.0,25.576412200927734
1993-04-30,44.28125,44.03125,44.125,44.03125,88500.0,25.612773895263672
1993-05-03,44.3125,43.90625,44.09375,44.3125,80500.0,25.7763614654541
1993-05-04,44.625,44.34375,44.40625,44.46875,149100.0,25.86725616455078
1993-05-05,44.75,44.46875,44.46875,44.59375,109000.0,25.939971923828125
1993-05-06,44.5625,44.40625,44.53125,44.4375,54700.0,25.849092483520508
1993-05-07,44.46875,44.28125,44.46875,44.34375,68000.0,25.794536590576172
1993-05-10,44.6875,44.40625,44.40625,44.4375,113900.0,25.849092483520508
1993-05-11,44.625,44.3125,44.4375,44.625,42600.0,25.958148956298828
1993-05-12,44.59375,44.4375,44.4375,44.5625,31000.0,25.921796798706055
1993-05-13,44.375,44.0,44.375,44.03125,129100.0,25.612773895263672
1993-05-14,44.15625,43.96875,44.03125,44.0,63500.0,25.594581604003906
1993-05-17,44.15625,43.9375,44.125,44.15625,34000.0,25.685495376586914
1993-05-18,44.21875,43.96875,44.1875,44.125,105200.0,25.667301177978516
1993-05-19,45.03125,43.84375,44.125,45.03125,50200.0,26.194477081298828
1993-05-20,45.15625,44.9375,45.03125,45.15625,98200.0,26.267179489135742
1993-05-21,45.25,44.71875,45.1875,44.75,221400.0,26.030868530273438
1993-05-24,45.09375,44.84375,44.84375,44.9375,30500.0,26.139930725097656
